Edge Type,Count,Percentage
in 1 to 1 orthology relationship with,29817,35.95%
in orthology relationship with,24020,28.96%
has phenotype,14520,17.51%
interacts with,7813,9.42%
is part of,1342,1.62%
has affected feature,1106,1.33%
pathogenic for condition,986,1.19%
expressed in,981,1.18%
enables,872,1.05%
involved in,405,0.49%
targets,239,0.29%
likely pathogenic for condition,185,0.22%
contributes to condition,177,0.21%
has role in modeling,134,0.16%
is allele of,96,0.12%
colocalizes with,60,0.07%
is substance that treats,31,0.04%
source,29,0.03%
is causal germline mutation in,16,0.02%
has genotype,7,0.01%
contributes to,4,0.00%
causes condition,3,0.00%
is marker for,1,0.00%
is causal germline mutation partially giving rise to,1,0.00%
